Ano_Mes;CO;N;NE;S;SE
2015_10;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2015_11;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2015_12;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2016_01;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2016_02;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2016_03;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2016_04;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2016_05;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2016_06;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2016_07;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2016_08;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2016_09;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2016_10;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2016_11;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2016_12;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2017_01;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2017_02;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2017_03;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2017_04;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2017_05;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2017_06;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2017_07;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2017_08;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2017_09;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2017_10;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2017_11;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2017_12;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2018_01;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2018_02;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2018_03;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2018_04;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2018_05;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2018_06;Etanol;Gasolina;Gasolina;Gasolina;Etanol
2018_07;Etanol;Gasolina;Gasolina;Gasolina;Etanol
2018_08;Etanol;Gasolina;Gasolina;Gasolina;Etanol
2018_09;Etanol;Gasolina;Gasolina;Gasolina;Etanol
2018_10;Etanol;Gasolina;Gasolina;Gasolina;Etanol
2018_11;Etanol;Gasolina;Gasolina;Gasolina;Etanol
2018_12;Etanol;Gasolina;Gasolina;Gasolina;Etanol
2019_01;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2019_02;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2019_03;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2019_04;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2019_05;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2019_06;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2019_07;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2019_08;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2019_09;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2019_10;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2019_11;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2019_12;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2020_01;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2020_02;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2020_03;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2020_04;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2020_05;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2020_06;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2020_07;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2020_08;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2020_10;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2020_11;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2020_12;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2021_01;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2021_02;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2021_03;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2021_04;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2021_05;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2021_06;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2021_07;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2021_08;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2021_09;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2021_10;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2021_11;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2021_12;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
