Data;ValorVendaGasolina;ValorVendaEtanol;CotacaoDolarVenda;Indice_Dez93;Ipca_Mensal
2019-07-25;4.458170160624907;3.389930242859305;3.7849;5224.18;0.19
2019-07-29;4.4918003767167;3.475756860702817;3.7909;5224.18;0.19
2019-07-30;4.382572293927281;3.439159105186286;3.79;5224.18;0.19
2019-07-31;4.439528887316208;3.4929957397434226;3.7649;5224.18;0.19
2019-08-01;4.396500368678428;3.3993145186905336;3.8296;5229.93;0.11
2019-08-05;4.484682994200553;3.4669417965208678;3.9404;5229.93;0.11
2019-08-06;4.4191866815988785;3.470509594122441;3.9643;5229.93;0.11
2019-08-07;4.388399705847801;3.4464316122199428;3.985;5229.93;0.11
2019-08-08;4.391495688360165;3.3786092438601694;3.9409;5229.93;0.11
2019-08-12;4.475220744678228;3.523876179122384;3.9966;5229.93;0.11
2019-08-13;4.395650100926515;3.4698529051073828;3.9736;5229.93;0.11
2019-08-14;4.458716874310985;3.466611863337983;4.0074;5229.93;0.11
2019-08-15;4.428080767608375;3.439829317616497;4.0188;5229.93;0.11
2019-08-19;4.459450807230619;3.476009520271831;4.0274;5229.93;0.11
2019-08-20;4.361637847172724;3.4829332024869304;4.0425;5229.93;0.11
2019-08-21;4.400682131464554;3.436696820276859;4.0254;5229.93;0.11
2019-08-22;4.494538327311598;3.4496446719009235;4.0444;5229.93;0.11
2019-08-26;4.418031012362863;3.4688305483751822;4.1367;5229.93;0.11
2019-08-27;4.421614026607431;3.539447965346028;4.1557;5229.93;0.11
2019-08-28;4.433429891513087;3.4633017128861567;4.1559;5229.93;0.11
2019-08-29;4.349068440065121;3.412183470630759;4.168;5229.93;0.11
2019-09-02;4.414085373857628;3.4672656287420156;4.1581;5227.84;-0.04
2019-09-03;4.413016667816367;3.506048735001883;4.1657;5227.84;-0.04
2019-09-04;4.409071035717088;3.41415283249848;4.1249;5227.84;-0.04
2019-09-05;4.392299058924049;3.3558540125694947;4.0859;5227.84;-0.04
2019-09-09;4.415652044942483;3.4401324008886913;4.0766;5227.84;-0.04
2019-09-10;4.401102024150773;3.4642999324404458;4.1108;5227.84;-0.04
2019-09-11;4.471123658313327;3.501571925589282;4.0631;5227.84;-0.04
2019-09-12;4.4194517415885395;3.4077251893706064;4.0494;5227.84;-0.04
2019-09-16;4.443271995000068;3.468180949580071;4.0872;5227.84;-0.04
2019-09-17;4.412666505364139;3.464189921500718;4.0998;5227.84;-0.04
2019-09-18;4.467699486894785;3.516297842120955;4.0972;5227.84;-0.04
2019-09-19;4.401082641837002;3.411367172314161;4.1393;5227.84;-0.04
2019-09-23;4.51277918654187;3.4898245621624047;4.1734;5227.84;-0.04
2019-09-24;4.461370587873382;3.4645963393583816;4.1721;5227.84;-0.04
2019-09-25;4.47219948318268;3.502208913897469;4.1827;5227.84;-0.04
2019-09-26;4.409484400997834;3.4205718397060916;4.1469;5227.84;-0.04
2019-09-30;4.531162317139017;3.513638479295074;4.1644;5227.84;-0.04
2019-10-01;4.427875028591101;3.4546674538432574;4.174;5233.07;0.1
2019-10-02;4.4926924643488695;3.5142987145322984;4.1546;5233.07;0.1
2019-10-03;4.455057100417642;3.3968683436450062;4.1012;5233.07;0.1
2019-10-07;4.464669479548043;3.4320422488636746;4.0688;5233.07;0.1
2019-10-08;4.447994341737066;3.4598880520053283;4.0868;5233.07;0.1
2019-10-09;4.490087421119914;3.4883992042523335;4.0954;5233.07;0.1
2019-10-10;4.435459753173442;3.3568257619819155;4.1145;5233.07;0.1
2019-10-14;4.517172218468139;3.5118309806098265;4.1263;5233.07;0.1
2019-10-15;4.442208886211971;3.4610480010300657;4.1488;5233.07;0.1
2019-10-16;4.487076725695286;3.4719237355993737;4.1714;5233.07;0.1
2019-10-17;4.433026310922231;3.3659278356088826;4.1457;5233.07;0.1
2019-10-21;4.51909690025125;3.500551884838231;4.1319;5233.07;0.1
2019-10-22;4.4788858480184;3.5082774418879477;4.0858;5233.07;0.1
2019-10-23;4.493719976261787;3.4369142887643207;4.0721;5233.07;0.1
2019-10-24;4.471526812523895;3.297862057981058;4.0089;5233.07;0.1
2019-10-28;4.487476196013763;3.504357465207068;3.9793;5233.07;0.1
2019-10-29;4.495758388785036;3.523985566096038;3.9946;5233.07;0.1
2019-10-30;4.474136856584362;3.403957035899416;4.0186;5233.07;0.1
